PositionCleaned,country,total
Defense,AUSTRIA,7
Defense,BELGIUM,3
Defense,BOSNIA AND HERZEGOVINA,1
Defense,CROATIA,2
Defense,CYPRUS,6
Defense,DENMARK,21
Defense,ENGLAND,69
Defense,FINLAND,1
Defense,FRANCE,39
Defense,GERMANY,80
Defense,GREECE,1
Defense,HUNGARY,2
Defense,ICELAND,16
Defense,IRELAND,6
Defense,ITALY,16
Defense,LUXEMBOURG,1
Defense,NETHERLANDS,12
Defense,NORTHERN IRELAND,1
Defense,NORWAY,35
Defense,POLAND,1
Defense,PORTUGAL,14
Defense,SCOTLAND,5
Defense,SERBIA,6
Defense,SLOVAKIA,1
Defense,SLOVENIA,2
Defense,SPAIN,37
Defense,SWEDEN,28
Defense,SWITZERLAND,4
Defense,THE CZECH REPUBLIC,3
Defense,UKRAINE,2
Defense,WALES,1
Forward,AUSTRIA,2
Forward,BOSNIA AND HERZEGOVINA,1
Forward,BULGARIA,1
Forward,CROATIA,1
Forward,CYPRUS,6
Forward,DENMARK,23
Forward,ENGLAND,43
Forward,ESTONIA,1
Forward,FRANCE,22
Forward,GERMANY,23
Forward,GREECE,1
Forward,HUNGARY,2
Forward,ICELAND,8
Forward,IRELAND,4
Forward,ITALY,12
Forward,KOSOVO,1
Forward,LITHUANIA,1
Forward,NETHERLANDS,6
Forward,NORTH MACEDONIA,1
Forward,NORWAY,20
Forward,POLAND,1
Forward,PORTUGAL,8
Forward,SERBIA,4
Forward,SLOVAKIA,1
Forward,SLOVENIA,1
Forward,SPAIN,35
Forward,SWEDEN,12
Forward,SWITZERLAND,2
Forward,THE CZECH REPUBLIC,1
Forward,UKRAINE,2
Forward,WALES,1
Forward/Defender,NETHERLANDS,1
Forward/Midfield,BELGIUM,1
Forward/Midfield,CYPRUS,1
Forward/Midfield,ENGLAND,4
Forward/Midfield,FRANCE,1
Forward/Midfield,GERMANY,6
Forward/Midfield,ICELAND,1
Forward/Midfield,NETHERLANDS,2
Forward/Midfield,NORWAY,2
Forward/Midfield,PORTUGAL,1
Forward/Midfield,SCOTLAND,1
Forward/Midfield,SPAIN,4
Forward/Midfield,WALES,1
Goalie,AUSTRIA,1
Goalie,BULGARIA,1
Goalie,CROATIA,1
Goalie,CYPRUS,2
Goalie,DENMARK,6
Goalie,ENGLAND,21
Goalie,FINLAND,2
Goalie,FRANCE,5
Goalie,GERMANY,24
Goalie,GREECE,1
Goalie,ICELAND,1
Goalie,IRELAND,1
Goalie,ITALY,7
Goalie,LUXEMBOURG,1
Goalie,NETHERLANDS,3
Goalie,NORTHERN IRELAND,1
Goalie,NORWAY,5
Goalie,POLAND,2
Goalie,PORTUGAL,2
Goalie,SERBIA,1
Goalie,SLOVAKIA,1
Goalie,SPAIN,16
Goalie,SWEDEN,5
Goalie,SWITZERLAND,3
Goalie,THE CZECH REPUBLIC,1
Midfield,ALBANIA,1
Midfield,AUSTRIA,5
Midfield,BELGIUM,3
Midfield,BOSNIA AND HERZEGOVINA,1
Midfield,CYPRUS,11
Midfield,DENMARK,20
Midfield,ENGLAND,62
Midfield,FINLAND,5
Midfield,FRANCE,33
Midfield,GERMANY,47
Midfield,GIBRALTAR,1
Midfield,HUNGARY,3
Midfield,ICELAND,15
Midfield,IRELAND,9
Midfield,ISLE OF MAN,1
Midfield,ITALY,14
Midfield,LITHUANIA,2
Midfield,MONACO,1
Midfield,NETHERLANDS,15
Midfield,NORTH MACEDONIA,1
Midfield,NORWAY,37
Midfield,POLAND,1
Midfield,PORTUGAL,19
Midfield,ROMANIA,1
Midfield,SCOTLAND,3
Midfield,SERBIA,4
Midfield,SLOVAKIA,2
Midfield,SLOVENIA,3
Midfield,SPAIN,55
Midfield,SWEDEN,24
Midfield,SWITZERLAND,5
Midfield,THE CZECH REPUBLIC,2
Midfield,UKRAINE,1
Midfield,WALES,3
Midfield/Defense,AUSTRIA,2
Midfield/Defense,DENMARK,3
Midfield/Defense,ENGLAND,3
Midfield/Defense,FRANCE,2
Midfield/Defense,GERMANY,6
Midfield/Defense,IRELAND,1
Midfield/Defense,NETHERLANDS,1
Midfield/Defense,NORWAY,1
Midfield/Defense,SLOVAKIA,1
Midfield/Defense,SPAIN,3
Midfield/Defense,SWEDEN,1
